SEKTOR,SUBSEKTOR,MSIC_5D
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",23102
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",23109
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",23911
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",23912
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",23921
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",23929
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",23930
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",23941
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",23942
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",23951
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",23952
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",23953
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",23959
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",23960
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",23990
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",24101
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",24102
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",24103
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",24104
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",24109
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",24201
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",24202
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",24209
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",24311
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",24312
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",24320
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",25111
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",25112
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",25113
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",25119
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",25120
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",25130
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",25200
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",25910
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",25920
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",25930
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",25991
